Time = 0.078125 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000004, 0.000013, 0.000040, 0.000120, 0.000335, 0.000884, 0.002187, 0.005086, 0.011109, 0.022794, 0.043937, 0.079560, 0.135335, 0.216265, 0.324652, 0.457833, 0.606531, 0.754840, 0.882497, 0.969233, 1.000000, 0.969233, 0.882497, 0.754840, 0.606531, 0.457833, 0.324652, 0.216265, 0.135335, 0.079560, 0.043937, 0.022794, 0.011109, 0.005086, 0.002187, 0.000884, 0.000335, 0.000120, 0.000040, 0.000013, 0.000004, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
Time = 0.085938 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000002, 0.000007, 0.000023, 0.000070, 0.000202, 0.000549, 0.001401, 0.003362, 0.007576, 0.016038, 0.031895, 0.059587, 0.104579, 0.172422, 0.267052, 0.388558, 0.531096, 0.681941, 0.822578, 0.932102, 0.992218, 0.992218, 0.932102, 0.822578, 0.681941, 0.531096, 0.388558, 0.267052, 0.172422, 0.104579, 0.059587, 0.031895, 0.016038, 0.007576, 0.003362, 0.001401, 0.000549, 0.000202, 0.000070, 0.000023, 0.000007, 0.000002, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 
Time = 0.093750 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000004, 0.000013, 0.000040, 0.000120, 0.000335, 0.000884, 0.002187, 0.005086, 0.011109, 0.022794, 0.043937, 0.079560, 0.135335, 0.216265, 0.324652, 0.457833, 0.606531, 0.754840, 0.882497, 0.969233, 1.000000, 0.969233, 0.882497, 0.754840, 0.606531, 0.457833, 0.324652, 0.216265, 0.135335, 0.079560, 0.043937, 0.022794, 0.011109, 0.005086, 0.002187, 0.000884, 0.000335, 0.000120, 0.000040, 0.000013, 0.000004, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 
Time = 0.101562 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000002, 0.000007, 0.000023, 0.000070, 0.000202, 0.000549, 0.001401, 0.003362, 0.007576, 0.016038, 0.031895, 0.059587, 0.104579, 0.172422, 0.267052, 0.388558, 0.531096, 0.681941, 0.822578, 0.932102, 0.992218, 0.992218, 0.932102, 0.822578, 0.681941, 0.531096, 0.388558, 0.267052, 0.172422, 0.104579, 0.059587, 0.031895, 0.016038, 0.007576, 0.003362, 0.001401, 0.000549, 0.000202, 0.000070, 0.000023, 0.000007, 0.000002, 0.000001, 0.000000, 0.000000, 0.000000, 
Time = 0.109375 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000004, 0.000013, 0.000040, 0.000120, 0.000335, 0.000884, 0.002187, 0.005086, 0.011109, 0.022794, 0.043937, 0.079560, 0.135335, 0.216265, 0.324652, 0.457833, 0.606531, 0.754840, 0.882497, 0.969233, 1.000000, 0.969233, 0.882497, 0.754840, 0.606531, 0.457833, 0.324652, 0.216265, 0.135335, 0.079560, 0.043937, 0.022794, 0.011109, 0.005086, 0.002187, 0.000884, 0.000335, 0.000120, 0.000040, 0.000013, 0.000004, 0.000001, 0.000000, 0.000000, 0.000000, 
Time = 0.117188 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000002, 0.000007, 0.000023, 0.000070, 0.000202, 0.000549, 0.001401, 0.003362, 0.007576, 0.016038, 0.031895, 0.059587, 0.104579, 0.172422, 0.267052, 0.388558, 0.531096, 0.681941, 0.822578, 0.932102, 0.992218, 0.992218, 0.932102, 0.822578, 0.681941, 0.531096, 0.388558, 0.267052, 0.172422, 0.104579, 0.059587, 0.031895, 0.016038, 0.007576, 0.003362, 0.001401, 0.000549, 0.000202, 0.000070, 0.000023, 0.000007, 0.000002, 0.000001, 0.000000, 0.000000, 
Time = 0.125000 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000004, 0.000013, 0.000040, 0.000120, 0.000335, 0.000884, 0.002187, 0.005086, 0.011109, 0.022794, 0.043937, 0.079560, 0.135335, 0.216265, 0.324652, 0.457833, 0.606531, 0.754840, 0.882497, 0.969233, 1.000000, 0.969233, 0.882497, 0.754840, 0.606531, 0.457833, 0.324652, 0.216265, 0.135335, 0.079560, 0.043937, 0.022794, 0.011109, 0.005086, 0.002187, 0.000884, 0.000335, 0.000120, 0.000040, 0.000013, 0.000004, 0.000001, 0.000000, 0.000000, 
Time = 0.132812 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000002, 0.000007, 0.000023, 0.000070, 0.000202, 0.000549, 0.001401, 0.003362, 0.007576, 0.016038, 0.031895, 0.059587, 0.104579, 0.172422, 0.267052, 0.388558, 0.531096, 0.681941, 0.822578, 0.932102, 0.992218, 0.992218, 0.932102, 0.822578, 0.681941, 0.531096, 0.388558, 0.267052, 0.172422, 0.104579, 0.059587, 0.031895, 0.016038, 0.007576, 0.003362, 0.001401, 0.000549, 0.000202, 0.000070, 0.000023, 0.000007, 0.000002, 0.000001, 0.000000, 
Time = 0.140625 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000004, 0.000013, 0.000040, 0.000120, 0.000335, 0.000884, 0.002187, 0.005086, 0.011109, 0.022794, 0.043937, 0.079560, 0.135335, 0.216265, 0.324652, 0.457833, 0.606531, 0.754840, 0.882497, 0.969233, 1.000000, 0.969233, 0.882497, 0.754840, 0.606531, 0.457833, 0.324652, 0.216265, 0.135335, 0.079560, 0.043937, 0.022794, 0.011109, 0.005086, 0.002187, 0.000884, 0.000335, 0.000120, 0.000040, 0.000013, 0.000004, 0.000001, 0.000000, 
Time = 0.148438 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000002, 0.000007, 0.000023, 0.000070, 0.000202, 0.000549, 0.001401, 0.003362, 0.007576, 0.016038, 0.031895, 0.059587, 0.104579, 0.172422, 0.267052, 0.388558, 0.531096, 0.681941, 0.822578, 0.932102, 0.992218, 0.992218, 0.932102, 0.822578, 0.681941, 0.531096, 0.388558, 0.267052, 0.172422, 0.104579, 0.059587, 0.031895, 0.016038, 0.007576, 0.003362, 0.001401, 0.000549, 0.000202, 0.000070, 0.000023, 0.000007, 0.000002, 0.000001, 
Time = 0.156250 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000004, 0.000013, 0.000040, 0.000120, 0.000335, 0.000884, 0.002187, 0.005086, 0.011109, 0.022794, 0.043937, 0.079560, 0.135335, 0.216265, 0.324652, 0.457833, 0.606531, 0.754840, 0.882497, 0.969233, 1.000000, 0.969233, 0.882497, 0.754840, 0.606531, 0.457833, 0.324652, 0.216265, 0.135335, 0.079560, 0.043937, 0.022794, 0.011109, 0.005086, 0.002187, 0.000884, 0.000335, 0.000120, 0.000040, 0.000013, 0.000004, 0.000001, 
Time = 0.164062 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000002, 0.000007, 0.000023, 0.000070, 0.000202, 0.000549, 0.001401, 0.003362, 0.007576, 0.016038, 0.031895, 0.059587, 0.104579, 0.172422, 0.267052, 0.388558, 0.531096, 0.681941, 0.822578, 0.932102, 0.992218, 0.992218, 0.932102, 0.822578, 0.681941, 0.531096, 0.388558, 0.267052, 0.172422, 0.104579, 0.059587, 0.031895, 0.016038, 0.007576, 0.003362, 0.001401, 0.000549, 0.000202, 0.000070, 0.000023, 0.000007, 0.000002, 
Time = 0.171875 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000004, 0.000013, 0.000040, 0.000120, 0.000335, 0.000884, 0.002187, 0.005086, 0.011109, 0.022794, 0.043937, 0.079560, 0.135335, 0.216265, 0.324652, 0.457833, 0.606531, 0.754840, 0.882497, 0.969233, 1.000000, 0.969233, 0.882497, 0.754840, 0.606531, 0.457833, 0.324652, 0.216265, 0.135335, 0.079560, 0.043937, 0.022794, 0.011109, 0.005086, 0.002187, 0.000884, 0.000335, 0.000120, 0.000040, 0.000013, 0.000004, 
Time = 0.179688 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000002, 0.000007, 0.000023, 0.000070, 0.000202, 0.000549, 0.001401, 0.003362, 0.007576, 0.016038, 0.031895, 0.059587, 0.104579, 0.172422, 0.267052, 0.388558, 0.531096, 0.681941, 0.822578, 0.932102, 0.992218, 0.992218, 0.932102, 0.822578, 0.681941, 0.531096, 0.388558, 0.267052, 0.172422, 0.104579, 0.059587, 0.031895, 0.016038, 0.007576, 0.003362, 0.001401, 0.000549, 0.000202, 0.000070, 0.000023, 0.000007, 
Time = 0.187500 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000004, 0.000013, 0.000040, 0.000120, 0.000335, 0.000884, 0.002187, 0.005086, 0.011109, 0.022794, 0.043937, 0.079560, 0.135335, 0.216265, 0.324652, 0.457833, 0.606531, 0.754840, 0.882497, 0.969233, 1.000000, 0.969233, 0.882497, 0.754840, 0.606531, 0.457833, 0.324652, 0.216265, 0.135335, 0.079560, 0.043937, 0.022794, 0.011109, 0.005086, 0.002187, 0.000884, 0.000335, 0.000120, 0.000040, 0.000013, 
Time = 0.195312 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000002, 0.000007, 0.000023, 0.000070, 0.000202, 0.000549, 0.001401, 0.003362, 0.007576, 0.016038, 0.031895, 0.059587, 0.104579, 0.172422, 0.267052, 0.388558, 0.531096, 0.681941, 0.822578, 0.932102, 0.992218, 0.992218, 0.932102, 0.822578, 0.681941, 0.531096, 0.388558, 0.267052, 0.172422, 0.104579, 0.059587, 0.031895, 0.016038, 0.007576, 0.003362, 0.001401, 0.000549, 0.000202, 0.000070, 0.000023, 
Time = 0.203125 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000004, 0.000013, 0.000040, 0.000120, 0.000335, 0.000884, 0.002187, 0.005086, 0.011109, 0.022794, 0.043937, 0.079560, 0.135335, 0.216265, 0.324652, 0.457833, 0.606531, 0.754840, 0.882497, 0.969233, 1.000000, 0.969233, 0.882497, 0.754840, 0.606531, 0.457833, 0.324652, 0.216265, 0.135335, 0.079560, 0.043937, 0.022794, 0.011109, 0.005086, 0.002187, 0.000884, 0.000335, 0.000120, 0.000040, 
